Period,IPC
Jan-22,8.4
Feb-22,8.5
Mar-22,10.2
Apr-22,13.8
May-22,14.5
Jun-22,15.1
Jul-22,15.0
Aug-22,15.3
Sep-22,15.9
Oct-22,15.3
Nov-22,16.8
Dec-22,16.4
Jan-23,15.1
Feb-23,15.5
Mar-23,14.5
Apr-23,11.2
May-23,10.6
Jun-23,10.3
Jul-23,9.4
Aug-23,9.4
Sep-23,8.8
Oct-23,8.1
Nov-23,6.7
Dec-23,6.6
Feb-24,7.2
Mar-24,6.6
Apr-24,5.9
May-24,5.1
Jun-24,4.9
Jul-24,5.4
Aug-24,5.1
Sep-24,4.6
Oct-24,4.7
Nov-24,5.1
Dec-24,5.1
